section,a_no_b_no,a_no_b_yes,a_yes_b_no,a_yes_b_yes,ci_hi,ci_lo,classifier,coder,dimension,dominant_zone,dominant_zone_n,dominant_zone_weight,environment,kappa,mapping,mapping_desc,n,n_sample,p_hat_reweighted,population,raw_sample_prevalence,scope,sensitivity,specificity,weight_clear-none,weight_clear-specific,weight_grey,zone_clear-none_n,zone_clear-none_p,zone_clear-specific_n,zone_clear-specific_p,zone_grey_n,zone_grey_p
intercoder,100,5,14,29,0.7962727657772131,0.5194805194805195,,,specific_reference,,,,,0.6680830972615676,,,148,,,,,overall,,,,,,,,,,,
intercoder,37,0,0,0,1.0,1.0,,,specific_reference,,,,,1.0,,,37,,,,,commons/uniform_fair,,,,,,,,,,,
intercoder,25,2,9,1,0.3242009132420092,-0.18264840182648387,,,specific_reference,,,,,0.03325415676959648,,,37,,,,,commons/mixed,,,,,,,,,,,
intercoder,24,2,3,8,0.9237113402061857,0.3620689655172413,,,specific_reference,,,,,0.6678635547576304,,,37,,,,,triage/uniform_fair,,,,,,,,,,,
intercoder,14,1,2,20,1.0,0.6207906295754028,,,specific_reference,,,,,0.8335832083958022,,,37,,,,,triage/mixed,,,,,,,,,,,
intercoder,23,2,0,123,1.0,0.8673240699238013,,,generic_network_language,,,,,0.9502855223379242,,,148,,,,,overall,,,,,,,,,,,
intercoder,0,0,0,37,1.0,1.0,,,generic_network_language,,,,,1.0,,,37,,,,,commons/uniform_fair,,,,,,,,,,,
intercoder,12,0,0,25,1.0,1.0,,,generic_network_language,,,,,1.0,,,37,,,,,commons/mixed,,,,,,,,,,,
intercoder,4,0,0,33,1.0,1.0,,,generic_network_language,,,,,1.0,,,37,,,,,triage/uniform_fair,,,,,,,,,,,
intercoder,7,2,0,28,1.0,0.5487804878048778,,,generic_network_language,,,,,0.8412017167381974,,,37,,,,,triage/mixed,,,,,,,,,,,
mapping,,,,,0.47774244833068363,0.15956372450010095,keyword,coder1,,,,,,0.32029795158286783,A,specific_reference,146,,,,,overall,0.6428571428571429,0.7115384615384616,,,,,,,,,
mapping,,,,,1.0,1.0,keyword,coder1,,,,,,1.0,A,specific_reference,37,,,,,commons/uniform_fair,,1.0,,,,,,,,,
mapping,,,,,2.664535259100375e-16,-3.3306690738754706e-16,keyword,coder1,,,,,,0.0,A,specific_reference,36,,,,,commons/mixed,0.0,1.0,,,,,,,,,
mapping,,,,,0.18728323699421973,-0.18807339449541283,keyword,coder1,,,,,,0.007001166861143634,A,specific_reference,37,,,,,triage/uniform_fair,0.8181818181818182,0.19230769230769232,,,,,,,,,
mapping,,,,,0.5627530364372471,-0.04347826086956515,keyword,coder1,,,,,,0.2727272727272727,A,specific_reference,36,,,,,triage/mixed,0.8571428571428571,0.4,,,,,,,,,
mapping,,,,,0.2839237057220707,0.09573329255237804,keyword,coder1,,,,,,0.18582909627685743,B,generic_network_language,146,,,,,overall,0.45454545454545453,0.92,,,,,,,,,
mapping,,,,,0.0,0.0,keyword,coder1,,,,,,0.0,B,generic_network_language,37,,,,,commons/uniform_fair,0.0,,,,,,,,,,
mapping,,,,,9.516197353929913e-17,-8.688701931849052e-17,keyword,coder1,,,,,,-8.326672684688674e-17,B,generic_network_language,36,,,,,commons/mixed,0.0,1.0,,,,,,,,,
mapping,,,,,1.0,0.2510121457489883,keyword,coder1,,,,,,0.683760683760684,B,generic_network_language,37,,,,,triage/uniform_fair,0.9090909090909091,1.0,,,,,,,,,
