environment,population,topology,sanctioning,n_texts,n_classified,aware_rate,fair_rate
commons,mixed,clustered,off,2147,2147,0.10898928737773637,0.5030274802049371
commons,mixed,clustered,on,1693,1693,0.11340815121086828,0.4813939751919669
commons,mixed,fully_connected,off,2153,2153,0.09103576405016256,0.5267069205759406
commons,mixed,fully_connected,on,2063,2063,0.09500727096461464,0.5113911778962675
commons,mixed,scale_free,off,2111,2111,0.12174324964471814,0.48128848886783515
commons,mixed,scale_free,on,1945,1945,0.10437017994858612,0.4853470437017995
commons,uniform_fair,clustered,off,2400,2400,0.0033333333333333335,1.0
commons,uniform_fair,clustered,on,2400,2400,0.0020833333333333333,1.0
commons,uniform_fair,fully_connected,off,2399,2399,0.006252605252188412,1.0
commons,uniform_fair,fully_connected,on,2400,2400,0.005,1.0
commons,uniform_fair,scale_free,off,2400,2400,0.0025,1.0
commons,uniform_fair,scale_free,on,2400,2400,0.00125,1.0
triage,mixed,clustered,off,2398,2398,0.6013344453711427,0.41659716430358634
triage,mixed,clustered,on,2394,2394,0.5994152046783626,0.43859649122807015
triage,mixed,fully_connected,off,2399,2399,0.6044185077115465,0.4260108378491038
triage,mixed,fully_connected,on,2399,2399,0.6044185077115465,0.4481033764068362
triage,mixed,scale_free,off,2400,2400,0.5879166666666666,0.40041666666666664
triage,mixed,scale_free,on,2378,2378,0.5992430613961311,0.3788898233809924
triage,uniform_fair,clustered,off,2394,2394,0.8600668337510443,0.8408521303258145
triage,uniform_fair,clustered,on,2394,2394,0.8801169590643275,0.7894736842105263
triage,uniform_fair,fully_connected,off,2396,2396,0.8217863105175293,0.8576794657762938
triage,uniform_fair,fully_connected,on,2397,2397,0.8322903629536921,0.8302044221944097
triage,uniform_fair,scale_free,off,2398,2398,0.8703085904920768,0.7914929107589658
triage,uniform_fair,scale_free,on,2378,2378,0.9070647603027755,0.7485281749369218
