environment,population,topology,sanctioning,n_texts,n_classified,aware_rate,fair_rate
commons,mixed,clustered,off,5382,5382,0.09234485321441843,0.5189520624303233
commons,mixed,clustered,on,4647,4647,0.07983645362599527,0.4975252851301915
commons,mixed,fully_connected,off,2154,2154,0.07103064066852367,0.5357474466109564
commons,mixed,fully_connected,on,2063,2063,0.06446921958313136,0.523509452253999
commons,mixed,scale_free,off,2111,2111,0.09237328280435812,0.4921837991473235
commons,mixed,scale_free,on,1945,1945,0.08277634961439588,0.4982005141388175
commons,uniform_fair,clustered,off,5998,5998,0.0015005001667222407,1.0
commons,uniform_fair,clustered,on,6000,6000,0.0025,1.0
commons,uniform_fair,fully_connected,off,2399,2399,0.0020842017507294707,1.0
commons,uniform_fair,fully_connected,on,2400,2400,0.0016666666666666668,1.0
commons,uniform_fair,scale_free,off,6000,6000,0.0005,1.0
commons,uniform_fair,scale_free,on,5997,5997,0.0006670001667500417,1.0
triage,mixed,clustered,off,2398,2398,0.5450375312760634,0.49582985821517933
triage,mixed,clustered,on,2394,2394,0.5526315789473685,0.5
triage,mixed,fully_connected,off,2399,2399,0.5406419341392247,0.48145060441850773
triage,mixed,fully_connected,on,2399,2399,0.5477282200917049,0.48145060441850773
triage,mixed,scale_free,off,2400,2400,0.5279166666666667,0.48
triage,mixed,scale_free,on,2378,2378,0.5504625735912532,0.4714045416316232
triage,uniform_fair,clustered,off,2395,2395,0.7578288100208769,0.9181628392484342
triage,uniform_fair,clustered,on,2394,2394,0.7861319966583125,0.9126984126984127
triage,uniform_fair,fully_connected,off,2396,2396,0.6894824707846411,0.8848080133555927
triage,uniform_fair,fully_connected,on,2397,2397,0.7221526908635795,0.871506049228202
triage,uniform_fair,scale_free,off,2398,2398,0.7535446205170976,0.8853211009174312
triage,uniform_fair,scale_free,on,2378,2378,0.8137089991589571,0.883515559293524
