environment,population,topology,sanctioning,rep,agent_id,n_rounds_classified,judge_aware_rate,judge_fair_rate,kw_aware_rate,kw_fair_rate
commons,uniform_fair,fully_connected,off,rep1,MSUFC-01,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-02,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-03,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-04,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-05,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-06,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-07,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-08,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-09,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-10,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-11,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-12,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-13,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-14,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-15,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-16,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-17,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-18,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-19,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep1,MSUFC-20,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-01,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-02,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-03,15,0.0667,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-04,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-05,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-06,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-07,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-08,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-09,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-10,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-11,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-12,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-13,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-14,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-15,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-16,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-17,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-18,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-19,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep2,MSUFC-20,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-01,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-02,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-03,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-04,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-05,15,0.0667,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-06,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-07,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-08,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-09,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-10,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-11,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-12,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-13,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-14,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-15,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-16,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-17,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-18,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-19,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep3,MSUFC-20,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-01,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-02,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-03,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-04,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-05,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-06,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-07,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-08,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-09,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-10,15,0.0667,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-11,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-12,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-13,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-14,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-15,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-16,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-17,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-18,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-19,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep4,MSUFC-20,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep5,MSUFC-01,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep5,MSUFC-02,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep5,MSUFC-03,15,0.0667,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep5,MSUFC-04,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep5,MSUFC-05,15,0.0,1.0,0.0,1.0
commons,uniform_fair,fully_connected,off,rep5,MSUFC-06,15,0.0,1.0,0.0,1.0
