environment,population,topology,sanctioning,rep,r,gini,compliance_rate,n_agents
commons,uniform_fair,fully_connected,off,rep1,,0.0,1.0,20
commons,uniform_fair,fully_connected,off,rep2,,0.0,1.0,20
commons,uniform_fair,fully_connected,off,rep3,,0.0,1.0,20
commons,uniform_fair,fully_connected,off,rep4,,0.0,1.0,20
commons,uniform_fair,fully_connected,off,rep5,,0.95,0.9966666666666667,20
commons,uniform_fair,fully_connected,off,rep6,,0.0,1.0,20
commons,uniform_fair,fully_connected,off,rep7,,0.0,1.0,20
commons,uniform_fair,fully_connected,off,rep8,,0.0,1.0,20
commons,uniform_fair,fully_connected,on,rep1,,0.0,1.0,20
commons,uniform_fair,fully_connected,on,rep2,,0.0,1.0,20
commons,uniform_fair,fully_connected,on,rep3,,0.0,1.0,20
commons,uniform_fair,fully_connected,on,rep4,,0.0,1.0,20
commons,uniform_fair,fully_connected,on,rep5,,0.0,1.0,20
commons,uniform_fair,fully_connected,on,rep6,,0.0,1.0,20
commons,uniform_fair,fully_connected,on,rep7,,0.0,1.0,20
commons,uniform_fair,fully_connected,on,rep8,,0.0,1.0,20
commons,uniform_fair,clustered,off,rep1,0.9635874436042311,0.23328806584362183,1.0,20
commons,uniform_fair,clustered,off,rep10,0.9604251327863901,0.29956204060203007,1.0,20
commons,uniform_fair,clustered,off,rep11,0.9719984046792602,0.319859905719281,1.0,20
commons,uniform_fair,clustered,off,rep12,0.9621464162910436,0.43350141877512405,1.0,20
commons,uniform_fair,clustered,off,rep13,0.9386156470549273,0.2951791406791404,1.0,20
commons,uniform_fair,clustered,off,rep14,0.9816690566899674,0.3190060266896255,1.0,20
commons,uniform_fair,clustered,off,rep15,0.9739524376824633,0.35121391799963253,1.0,20
commons,uniform_fair,clustered,off,rep16,0.9691500939446013,0.3348780952380952,1.0,20
commons,uniform_fair,clustered,off,rep17,0.9709503494642089,0.3921278600269178,0.9933333333333333,20
commons,uniform_fair,clustered,off,rep18,0.9788623400904471,0.35231418591111985,1.0,20
commons,uniform_fair,clustered,off,rep19,0.990069205546782,0.3526789689513765,1.0,20
commons,uniform_fair,clustered,off,rep2,0.9626183403896567,0.29201071655617095,1.0,20
commons,uniform_fair,clustered,off,rep20,0.970410479812025,0.3785520833333331,1.0,20
commons,uniform_fair,clustered,off,rep3,0.9760252547469553,0.3195420258620689,1.0,20
commons,uniform_fair,clustered,off,rep4,0.9552835734879673,0.3759620991253645,1.0,20
commons,uniform_fair,clustered,off,rep5,0.9316077005775028,0.22466265060240964,1.0,20
commons,uniform_fair,clustered,off,rep6,0.9586131067639188,0.345849195295574,1.0,20
commons,uniform_fair,clustered,off,rep7,0.9695878951343366,0.3496047430830036,1.0,20
commons,uniform_fair,clustered,off,rep8,0.9539651600594735,0.22083454545454528,1.0,20
commons,uniform_fair,clustered,off,rep9,0.9046350771441929,0.2650845864661653,1.0,20
commons,uniform_fair,clustered,on,rep1,0.9914704907999242,0.34449688334817474,1.0,20
commons,uniform_fair,clustered,on,rep10,0.9666327607854849,0.2782897489539753,1.0,20
commons,uniform_fair,clustered,on,rep11,0.985009968777142,0.35513145965548465,1.0,20
commons,uniform_fair,clustered,on,rep12,0.9361685216026276,0.2765579710144923,1.0,20
commons,uniform_fair,clustered,on,rep13,0.9751239965118466,0.3290434819405743,1.0,20
commons,uniform_fair,clustered,on,rep14,0.9877947527489676,0.29384235071957865,1.0,20
commons,uniform_fair,clustered,on,rep15,0.9834278914610937,0.2454645021645021,1.0,20
commons,uniform_fair,clustered,on,rep16,0.9852276745416816,0.5141059660235052,1.0,20
commons,uniform_fair,clustered,on,rep17,0.9695173868630401,0.2952004716981136,1.0,20
commons,uniform_fair,clustered,on,rep18,0.9647038786333081,0.3049449376334419,1.0,20
commons,uniform_fair,clustered,on,rep19,0.9885005630174807,0.36302696078431373,1.0,20
commons,uniform_fair,clustered,on,rep2,0.9491277024771555,0.40575311438278594,1.0,20
commons,uniform_fair,clustered,on,rep20,0.9767948962176436,0.3395858230814295,1.0,20
commons,uniform_fair,clustered,on,rep3,0.9523126475761957,0.36551891091364785,1.0,20
commons,uniform_fair,clustered,on,rep4,0.9735883561342673,0.31055097887187433,1.0,20
commons,uniform_fair,clustered,on,rep5,0.9634546096277891,0.2817467209407507,1.0,20
commons,uniform_fair,clustered,on,rep6,0.952074205766389,0.31475447909754495,1.0,20
commons,uniform_fair,clustered,on,rep7,0.9754997088942472,0.389950026867276,1.0,20
commons,uniform_fair,clustered,on,rep8,0.9534436401355999,0.34945697896749484,1.0,20
commons,uniform_fair,clustered,on,rep9,0.9751301284824194,0.3007660167130919,1.0,20
commons,uniform_fair,scale_free,off,rep1,0.9726423441338062,0.5399078341013823,1.0,20
commons,uniform_fair,scale_free,off,rep10,0.9687725398682445,0.5387539682539682,1.0,20
commons,uniform_fair,scale_free,off,rep11,0.9682652876857383,0.5418253968253968,1.0,20
commons,uniform_fair,scale_free,off,rep12,0.9777083430201301,0.6223469387755103,1.0,20
commons,uniform_fair,scale_free,off,rep13,0.9807179946155169,0.572295197740113,1.0,20
commons,uniform_fair,scale_free,off,rep14,0.9577132320848474,0.43610344827586234,1.0,20
commons,uniform_fair,scale_free,off,rep15,0.9346170774602083,0.48304255319148925,1.0,20
commons,uniform_fair,scale_free,off,rep16,0.9831695481605113,0.4646785714285715,1.0,20
commons,uniform_fair,scale_free,off,rep17,0.989990615989441,0.5442243186582811,1.0,20
commons,uniform_fair,scale_free,off,rep18,0.9668138593795019,0.5523041474654378,1.0,20
commons,uniform_fair,scale_free,off,rep19,0.9753335740188958,0.5196730382293764,1.0,20
commons,uniform_fair,scale_free,off,rep2,0.970818451964911,0.5486943164362519,1.0,20
commons,uniform_fair,scale_free,off,rep20,0.9939164020616515,0.5986235955056178,1.0,20
commons,uniform_fair,scale_free,off,rep3,0.9775479125824464,0.583556338028169,1.0,20
commons,uniform_fair,scale_free,off,rep4,0.9720158854721217,0.5491056910569105,1.0,20
commons,uniform_fair,scale_free,off,rep5,0.9875617461845658,0.5227608346709469,1.0,20
commons,uniform_fair,scale_free,off,rep6,0.961339310968454,0.5075111111111115,1.0,20
commons,uniform_fair,scale_free,off,rep7,0.9712304845353144,0.522642857142857,1.0,20
commons,uniform_fair,scale_free,off,rep8,0.9779885643662388,0.48279255319148984,1.0,20
commons,uniform_fair,scale_free,off,rep9,0.9811726283393022,0.6306226591760302,1.0,20
commons,uniform_fair,scale_free,on,rep1,0.9644777254618708,0.5332500000000002,1.0,20
commons,uniform_fair,scale_free,on,rep10,0.9922566477398317,0.5634712643678159,0.9966666666666667,20
commons,uniform_fair,scale_free,on,rep11,0.9870044964179984,0.6311911468812876,0.9966666666666667,20
commons,uniform_fair,scale_free,on,rep12,0.9794427493071614,0.5705299539170507,1.0,20
commons,uniform_fair,scale_free,on,rep13,0.9916761627901153,0.6127475728155338,1.0,20
commons,uniform_fair,scale_free,on,rep14,0.9675175671346843,0.5228301886792448,1.0,20
commons,uniform_fair,scale_free,on,rep15,0.9760934570283025,0.4641666666666666,1.0,20
commons,uniform_fair,scale_free,on,rep16,0.9852357407361013,0.5976052449965492,1.0,20
commons,uniform_fair,scale_free,on,rep17,0.9886117165008675,0.6928787878787876,1.0,20
commons,uniform_fair,scale_free,on,rep18,0.9831558511436235,0.5748656898656896,1.0,20
commons,uniform_fair,scale_free,on,rep19,0.9694075395161839,0.5349202127659569,1.0,20
commons,uniform_fair,scale_free,on,rep2,0.9659333765205437,0.5036991869918697,1.0,20
commons,uniform_fair,scale_free,on,rep20,0.988635248561559,0.6762315789473687,1.0,20
commons,uniform_fair,scale_free,on,rep3,0.985088063716636,0.5960040160642568,1.0,20
commons,uniform_fair,scale_free,on,rep4,0.976485130758068,0.5301071428571429,1.0,20
commons,uniform_fair,scale_free,on,rep5,0.9814551841451807,0.5551076923076925,1.0,20
commons,uniform_fair,scale_free,on,rep6,0.9930715654136766,0.588490566037736,1.0,20
commons,uniform_fair,scale_free,on,rep7,0.9944472469249472,0.6643821839080459,1.0,20
commons,uniform_fair,scale_free,on,rep8,0.9868082596662626,0.6340689655172411,1.0,20
commons,uniform_fair,scale_free,on,rep9,0.9888514922584456,0.6346845047923322,0.9966666666666667,20
commons,mixed,fully_connected,off,rep1,,0.49456222048784926,0.47333333333333333,20
commons,mixed,fully_connected,off,rep2,,0.5244915676354867,0.48333333333333334,20
commons,mixed,fully_connected,off,rep3,,0.5092508503026605,0.49,20
commons,mixed,fully_connected,off,rep4,,0.4952833616934007,0.48,20
commons,mixed,fully_connected,off,rep5,,0.502698989170695,0.48333333333333334,20
commons,mixed,fully_connected,off,rep6,,0.4391551539856011,0.4266666666666667,20
commons,mixed,fully_connected,off,rep7,,0.5157791032317887,0.4766666666666667,20
commons,mixed,fully_connected,off,rep8,,0.47092228970392425,0.4533333333333333,20
commons,mixed,fully_connected,on,rep1,,0.5249552690517443,0.49333333333333335,20
commons,mixed,fully_connected,on,rep2,,0.46701560575928447,0.43333333333333335,20
commons,mixed,fully_connected,on,rep3,,0.4833000036744213,0.44,20
commons,mixed,fully_connected,on,rep4,,0.47199241439030404,0.42,20
commons,mixed,fully_connected,on,rep5,,0.4551507446267804,0.4033333333333333,20
commons,mixed,fully_connected,on,rep6,,0.4819777613834362,0.42,20
commons,mixed,fully_connected,on,rep7,,0.4906000441602114,0.43,20
commons,mixed,fully_connected,on,rep8,,0.4655429404787206,0.41,20
commons,mixed,clustered,off,rep1,-0.13628041895672754,0.5043557974716208,0.53,20
commons,mixed,clustered,off,rep10,0.6193474670166733,0.4381137082441906,0.4633333333333333,20
commons,mixed,clustered,off,rep11,0.2862046296856427,0.4268093251617844,0.44333333333333336,20
commons,mixed,clustered,off,rep12,-0.10586096416209424,0.436521552538365,0.47,20
commons,mixed,clustered,off,rep13,0.03927089388002086,0.4102305225460856,0.44666666666666666,20
commons,mixed,clustered,off,rep14,0.23942402698745524,0.4240205797021197,0.45,20
commons,mixed,clustered,off,rep15,0.04467541312751182,0.39935755437681664,0.44,20
commons,mixed,clustered,off,rep16,0.28662127719204705,0.42854874441382385,0.44666666666666666,20
commons,mixed,clustered,off,rep17,0.13278567983272405,0.4322420819225514,0.48,20
commons,mixed,clustered,off,rep18,-0.19065699563162886,0.38417979850871364,0.4666666666666667,20
commons,mixed,clustered,off,rep19,0.18317718073744893,0.45514195951774195,0.47333333333333333,20
commons,mixed,clustered,off,rep2,0.31064072897896083,0.41399583258340966,0.4666666666666667,20
commons,mixed,clustered,off,rep20,0.059764282851671464,0.40130434789230973,0.4666666666666667,20
commons,mixed,clustered,off,rep3,-0.4745125484987548,0.437133995852099,0.5,20
commons,mixed,clustered,off,rep4,0.023561570749117234,0.4099388858974842,0.42333333333333334,20
commons,mixed,clustered,off,rep5,0.4124798883249124,0.3873800003801373,0.4033333333333333,20
commons,mixed,clustered,off,rep6,0.22615210752025525,0.4106276525738555,0.39666666666666667,20
commons,mixed,clustered,off,rep7,0.09229918831960776,0.3968547994837244,0.46,20
commons,mixed,clustered,off,rep8,-0.1281188806525343,0.4500058511693603,0.48,20
commons,mixed,clustered,off,rep9,-0.025110156880556504,0.4132131931897358,0.4666666666666667,20
commons,mixed,clustered,on,rep1,-0.1146708108596602,0.37948465479251725,0.27666666666666667,20
commons,mixed,clustered,on,rep10,0.24040843685076568,0.4136269511796662,0.41,20
commons,mixed,clustered,on,rep11,-0.11843307473374651,0.43813768132590103,0.44666666666666666,20
commons,mixed,clustered,on,rep12,0.12302905062732467,0.45129795757495317,0.46,20
commons,mixed,clustered,on,rep13,0.3525617335174371,0.38982017421619375,0.41333333333333333,20
commons,mixed,clustered,on,rep14,-0.04247376496770711,0.448793330222401,0.36,20
commons,mixed,clustered,on,rep15,5.936348235433112e-05,0.4239997317074191,0.43,20
commons,mixed,clustered,on,rep16,-0.2521068967800365,0.41607181869429266,0.38666666666666666,20
commons,mixed,clustered,on,rep17,-0.12314386554656584,0.37980830127588705,0.30666666666666664,20
commons,mixed,clustered,on,rep18,0.39657541694981235,0.44006191193675015,0.44666666666666666,20
commons,mixed,clustered,on,rep19,-0.10494189296882464,0.4087007911953018,0.35,20
commons,mixed,clustered,on,rep2,-0.11987501366848974,0.4043854438610617,0.31666666666666665,20
commons,mixed,clustered,on,rep20,0.3546301381136295,0.4235820463671054,0.4033333333333333,20
commons,mixed,clustered,on,rep3,0.19234072085127613,0.4074887826085736,0.3933333333333333,20
commons,mixed,clustered,on,rep4,0.26506656848356647,0.38699351616493916,0.30333333333333334,20
commons,mixed,clustered,on,rep5,0.06814787954185954,0.3867758162196977,0.2633333333333333,20
commons,mixed,clustered,on,rep6,0.08129200215625043,0.481691194353961,0.35,20
commons,mixed,clustered,on,rep7,-0.12960994552130012,0.4150999376506703,0.38666666666666666,20
commons,mixed,clustered,on,rep8,0.14131450798098327,0.3826721156443267,0.35,20
commons,mixed,clustered,on,rep9,-0.12998899976938547,0.4456677419977437,0.42,20
commons,mixed,scale_free,off,rep1,0.5292163767652293,0.40358542240964446,0.43,20
commons,mixed,scale_free,off,rep2,0.5860289508583622,0.4326203218866669,0.3933333333333333,20
commons,mixed,scale_free,off,rep3,0.4712512326859634,0.4074873163863131,0.4,20
commons,mixed,scale_free,off,rep4,0.3080731796358566,0.3719584996915608,0.43333333333333335,20
commons,mixed,scale_free,off,rep5,0.1440242998303052,0.38509044839424256,0.44333333333333336,20
