environment,population,topology,sanctioning,n_replicates_found,n_reps,n_pooled_agents,r,r_lo,r_hi,gini_mean,gini_lo,gini_hi,compliance_rate,mean_sanctions_per_run,sanctioned_degree_ratio
commons,uniform_fair,fully_connected,off,8,8,160,,,,0.11875,-0.11399572316413142,0.3514957231641314,0.9995833333333334,0,
commons,uniform_fair,fully_connected,on,8,8,160,,,,0.0,0.0,0.0,1.0,0,
commons,uniform_fair,clustered,off,20,20,400,0.9612117601104637,0.9529766255645451,0.9680282976487888,0.32278561361073,0.29803086819111435,0.34754035903034564,0.9996666666666667,0,
commons,uniform_fair,clustered,on,20,20,400,0.9696886470523269,0.9632194890417021,0.9750344434560828,0.33290938918860263,0.307012744081271,0.3588060342959343,1.0,0,
commons,uniform_fair,scale_free,off,20,20,400,0.9728112454592721,0.9669973573255343,0.9776125908816145,0.5380732684632387,0.5163500423616741,0.5597964945648032,1.0,0,
commons,uniform_fair,scale_free,on,20,20,400,0.9812814686863197,0.9772579254173251,0.9845987086882837,0.5840616283129134,0.5576009721021544,0.6105222845236724,0.9995,0.05,0.5405405405405405
commons,mixed,fully_connected,off,8,8,160,,,,0.4940179420264258,0.47503195517574154,0.51300392887711,0.4708333333333333,0,
commons,mixed,fully_connected,on,8,8,160,,,,0.48006684794061283,0.4652339977293641,0.4948996981518616,0.43125,24,1.0
commons,mixed,clustered,off,20,20,400,0.08941662731172308,-0.008711469924904834,0.18583901212899395,0.42299880917129645,0.41098533928900854,0.43501227905358436,0.45866666666666667,0,
commons,mixed,clustered,on,20,20,400,0.06461111104989145,-0.03365381344143763,0.1616388117344189,0.41620799494946814,0.4038495178425637,0.4285664720563726,0.37366666666666665,38.55,1.0299935149156938
commons,mixed,scale_free,off,8,8,160,0.35337695570485883,0.20971688769361985,0.48210226294972164,0.39448519478199784,0.38022793006136735,0.40874245950262833,0.42833333333333334,0,
commons,mixed,scale_free,on,8,8,160,0.297601262004671,0.1493382770558853,0.43277636879885484,0.39530605325952195,0.3737069912546206,0.4169051152644233,0.39416666666666667,29,1.5936626281453867
triage,uniform_fair,fully_connected,off,8,8,160,,,,0.42841752966689606,0.38946351553162134,0.4673715438021708,0.83125,0,
triage,uniform_fair,fully_connected,on,8,8,160,,,,0.478894918560326,0.44120671494263586,0.5165831221780162,0.8,0.5,1.0
triage,uniform_fair,clustered,off,8,8,160,0.38066069017981213,0.23965675203924466,0.5059373417597435,0.36680763472400335,0.3265557311610569,0.4070595382869498,0.88875,0,
triage,uniform_fair,clustered,on,8,8,160,0.4662638446891003,0.3353672110822446,0.5794987997184715,0.35437844853625466,0.30952795920491183,0.3992289378675975,0.8958333333333334,0.75,0.9583333333333334
triage,uniform_fair,scale_free,off,8,8,160,0.9645219229255743,0.9518045459699339,0.9739283794521744,0.525576261991777,0.49035489199339344,0.5607976319901605,0.8383333333333334,0,
triage,uniform_fair,scale_free,on,8,8,160,0.9470902172849687,0.9283522065472544,0.9610267288645651,0.5227046915250463,0.48868109527257464,0.5567282877775179,0.8508333333333333,2.75,1.683046683046683
triage,mixed,fully_connected,off,8,8,160,,,,0.33151468436454845,0.3045215687726982,0.3585077999563987,0.4845833333333333,0,
triage,mixed,fully_connected,on,8,8,160,,,,0.3401711076280041,0.312761727447259,0.36758048780874925,0.4791666666666667,0.125,1.0
triage,mixed,clustered,off,8,8,160,0.3011248760988863,0.15312023871460878,0.4359166546627106,0.2882823167823977,0.2715660388807457,0.30499859468404966,0.51125,0,
triage,mixed,clustered,on,8,8,160,0.3623955188716911,0.21958370946113856,0.4900020218736851,0.2946824780446352,0.2682352885903828,0.3211296674988876,0.51625,1.375,1.0
triage,mixed,scale_free,off,8,8,160,0.713823710113522,0.628247094458845,0.7823342501023008,0.3752027243589743,0.324555758697695,0.4258496900202536,0.4795833333333333,0,
triage,mixed,scale_free,on,8,8,160,0.6503776919022194,0.5508012886883363,0.7316993486741871,0.3919578427845313,0.36544183806035646,0.4184738475087061,0.4725,3,2.083333333333333
